table_id,mr1_op,rl_nck,wl_set_a_nck,wl_set_b_nck,nwtp_nck,nrtp_bl24_nck,nrtp_bl48_nck,nacu_nck,source,status
T65,00101,23,12,18,12,8,14,21,Table65,seeded
T65,00110,26,12,21,13,8,14,24,Table65,seeded
T65,00111,29,14,24,15,8,14,27,Table65,seeded
T65,01000,33,16,28,17,8,14,31,Table65,seeded
T65,01001,39,18,32,20,8,14,36,Table65,seeded
T65,01010,46,20,38,23,11,23,42,Table65,seeded
T65,01011,52,22,44,26,11,23,47,Table65,seeded
T65,01100,58,24,50,29,13,25,53,Table65,seeded
T65,01101,64,26,54,32,14,26,59,Table65,seeded
T65,01110,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table65,tbd
T65,01111,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table65,tbd
T65,10000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table65,tbd
T66,00000,8,4,5,6,7,13,6,Table66,seeded
T66,00001,11,6,7,6,7,13,9,Table66,seeded
T66,00010,15,8,10,8,7,13,12,Table66,seeded
T66,00011,19,8,13,10,7,13,16,Table66,seeded
T66,00100,22,10,15,12,7,13,18,Table66,seeded
T66,00101,25,12,18,14,8,14,21,Table66,seeded
T66,00110,28,12,21,15,8,14,24,Table66,seeded
T66,00111,32,14,24,17,8,14,27,Table66,seeded
T66,01000,36,16,28,20,8,14,31,Table66,seeded
T66,01001,42,18,32,23,8,14,36,Table66,seeded
T66,01010,50,20,38,27,11,23,42,Table66,seeded
T66,01011,56,22,44,30,11,23,47,Table66,seeded
T66,01100,64,24,50,34,13,25,53,Table66,seeded
T66,01101,70,26,54,38,14,26,59,Table66,seeded
T66,01110,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table66,tbd
T66,01111,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table66,tbd
T66,10000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table66,tbd
T67,00000,8,4,5,6,7,13,7,Table67,seeded
T67,00001,12,6,7,6,7,13,11,Table67,seeded
T67,00010,15,8,10,8,7,13,14,Table67,seeded
T67,00011,19,8,13,10,8,14,18,Table67,seeded
T67,00100,22,10,15,12,8,14,21,Table67,seeded
T68,00000,9,4,5,6,7,13,7,Table68,seeded
T68,00001,13,6,7,7,7,13,11,Table68,seeded
T68,00010,17,8,10,9,7,13,14,Table68,seeded
T68,00011,21,8,13,12,8,14,18,Table68,seeded
T68,00100,24,10,15,13,8,14,21,Table68,seeded
T69,00000,7,4,5,6,7,13,6,Table69,seeded
T69,00001,11,6,7,7,7,13,9,Table69,seeded
T69,00010,14,8,10,9,7,13,12,Table69,seeded
T69,00011,17,8,13,12,7,13,16,Table69,seeded
T69,00100,20,10,15,13,7,13,18,Table69,seeded
T69,00101,23,12,18,15,8,14,21,Table69,seeded
T69,00110,26,12,21,18,8,14,24,Table69,seeded
T69,00111,29,14,24,20,8,14,27,Table69,seeded
T69,01000,33,16,28,23,8,14,31,Table69,seeded
T69,01001,39,18,32,26,8,14,36,Table69,seeded
T69,01010,46,20,38,31,11,23,42,Table69,seeded
T69,01011,52,22,44,35,11,23,47,Table69,seeded
T69,01100,58,24,50,39,13,25,53,Table69,seeded
T69,01101,64,26,54,43,14,26,59,Table69,seeded
T69,01110,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table69,tbd
T69,01111,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table69,tbd
T69,10000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table69,tbd
T70,00000,8,4,5,6,7,13,6,Table70,seeded
T70,00001,11,6,7,8,7,13,9,Table70,seeded
T70,00010,15,8,10,10,7,13,12,Table70,seeded
T70,00011,19,8,13,13,7,13,16,Table70,seeded
T70,00100,22,10,15,15,7,13,18,Table70,seeded
T70,00101,25,12,18,17,8,14,21,Table70,seeded
T70,00110,28,12,21,20,8,14,24,Table70,seeded
T70,00111,32,14,24,22,8,14,27,Table70,seeded
T70,01000,36,16,28,25,8,14,31,Table70,seeded
T70,01001,42,18,32,29,8,14,36,Table70,seeded
T70,01010,50,20,38,34,11,23,42,Table70,seeded
T70,01011,56,22,44,39,11,23,47,Table70,seeded
T70,01100,64,24,50,44,13,25,53,Table70,seeded
T70,01101,70,26,54,48,14,26,59,Table70,seeded
T70,01110,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table70,tbd
T70,01111,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table70,tbd
T70,10000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table70,tbd
T71,00000,8,4,5,6,7,13,7,Table71,seeded
T71,00001,12,6,7,8,7,13,11,Table71,seeded
T71,00010,15,8,10,10,7,13,14,Table71,seeded
T71,00011,19,8,13,13,8,14,18,Table71,seeded
T71,00100,22,10,15,15,8,14,21,Table71,seeded
T72,00000,9,4,5,6,7,13,7,Table72,seeded
T72,00001,13,6,7,9,7,13,11,Table72,seeded
T72,00010,17,8,10,12,7,13,14,Table72,seeded
T72,00011,21,8,13,15,8,14,18,Table72,seeded
T72,00100,24,10,15,17,8,14,21,Table72,seeded
