scenario_id,current_cmd,next_cmd,bank_relation,burst_length,requested_gap_nck,ws_operand,data_rate_mbps,MR1.OP[4:0],MR1.OP[5],MR1.OP[6],MR11.OP[4],MR23.OP[0],MR23.OP[2],result_state,min_nck,max_nck,rule_id,warning_count,RL,WL,tWTR_S,tWTR_L,WR->RD min (diff BG),WR->RD min (same BG),tRTW
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,0,1,0,0,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,17,8,6,10,,,18
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,0,1,0,0,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,19,8,6,10,,,20
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,0,1,0,1,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,17,8,9,13,,,18
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,0,1,0,1,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,19,8,9,13,,,20
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,1,0,0,0,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,15,13,6,9,,,10
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,1,0,0,0,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,17,13,6,9,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,1,0,0,1,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,15,13,8,11,,,10
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,1,0,0,1,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,17,13,8,11,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,1,1,0,0,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,17,13,6,10,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,1,1,0,0,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,19,13,6,10,,,14
